id,created_at,text
1468135189897531393,2021-12-07 08:28:00+00:00,"Due to the arrival of #StormBarra and in line with @DeptofFHed advice, RCSI will be closed today.

Stay safe by following the latest advice. https://t.co/9i6TNDhX8Y https://t.co/nnQ80cgRB4"
1467880778143043592,2021-12-06 15:37:04+00:00,"COVID-19 posed a new challenge for medical schools in accepting donated bodies for medical education.

Prof. @FabQu_ was a leading academic on a multi-centre study which supported the safe resumption of body donation programmes. 

https://t.co/3KgbrnmlNQ @JAnatomy #RCSIdiscover https://t.co/fPpZGxL3Bt"
1467871368469430274,2021-12-06 14:59:40+00:00,"Why study abroad? #Erasmus experience builds students’ skills and boosts their employability.

#ErasmusPlus"
1466795795433373696,2021-12-03 15:45:44+00:00,"@OcularOirg @rveeheducation @RoyalVictoriaRF @RCSIPharmBioMol @JGabhann @RCSI_Research @RCSI_postgrad @WomenMedIreland @AcuityIreland @eyedoctorsIRL @EmzotheGreen Congratulations, @EmzotheGreen. 
👏👏👏"
1466736870411411457,2021-12-03 11:51:35+00:00,"What you need to know about antibiotics this winter

""The reality is that most common infections get better without antibiotics."" @HSELive @RCSI_Micro 
https://t.co/tvOznlYyiR"
1466705183371669508,2021-12-03 09:45:40+00:00,"@EvelynCFlynn @tcddublin What an excellent achievement. Congratulations, @EvelynCFlynn. 💫"
1466451810533658624,2021-12-02 16:58:51+00:00,"@RCSI_Research @RCSI_postgrad @brc_clinic @hermitageclinic @SSCSantry @materprivate Candidates will be based at one of the collaborating private hospitals, enhancing clinician-scientist research collaborations, while also working in a relevant RCSI laboratory or research setting. 

Apply by 6 Jan. @RCSI_Research 
https://t.co/r6w6J9Aea4"
1466451378033897474,2021-12-02 16:57:08+00:00,"RCSI StAR MD candidates investigate the most urgent health issues in collaboration with hospital partners in Ireland. 

Apply for the 2022 programme now: https://t.co/XIisV5SwGW https://t.co/BSGHGVOq4Z"
1466431930401005581,2021-12-02 15:39:51+00:00,"Improving pathways for acute stroke and rehabilitation

Marking the launch of @iPASTAR_stroke, you're invited to a symposium with guest speaker Prof. @BoNorrving.

Register: https://t.co/k9sSH3x3z1 https://t.co/mcGLHu8LWE"
1466422179478880276,2021-12-02 15:01:07+00:00,"Are you trying too hard to be happy? 

Dr @JolantaBurke writes in @ConversationUK. #positivepsychology #scienceofhappiness
https://t.co/woNKKogh5g"
1466353014533468161,2021-12-02 10:26:16+00:00,"Are you interested in a career in physiotherapy, medicine, pharmacy or advanced therapeutic technologies?

Join us for our 2022 Open Day. https://t.co/q0UvhK0E8i https://t.co/3A5m2WuTRh"
1466070795495559175,2021-12-01 15:44:50+00:00,"Wound healing gets a boost from 3D printed platelet-rich plasma

@GENbio @TissueEngDublin @ambercentre 
https://t.co/earwpEfoOs"
1466068509243359232,2021-12-01 15:35:45+00:00,"@Aisling_Reast Welcome back, @Aisling_Reast! Wishing you every success in your new role."
1466012540308185088,2021-12-01 11:53:21+00:00,"📢Calling all #TransitionYear students 

Are you interested in experiencing what it's like to train and work as a healthcare professional?

Join us at #RCSIMiniMed🎫https://t.co/EQyV55ez1U #edchatie https://t.co/rjJ9i94lwX"
1465707988048510977,2021-11-30 15:43:10+00:00,"@TissueEngDublin @ambercentre Led by researchers at @TissueEngDublin and @ambercentre, the findings suggest that wound healing may be aided by replicating a crucial component of our blood.

@scienceirel @RCSI_Research 
#3Dprinting #woundhealing 

https://t.co/7VQSJhvKfB"
1465705873783738376,2021-11-30 15:34:46+00:00,"3D printing of blood plasma may speed up wound healing

@TissueEngDublin @ambercentre #woundhealing
https://t.co/7aRRENF4wl"
